,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2018-12-31,12,2018-12-31,21.333333333333332,8.208333333333334,40.166666666666664,956.0083333333333,93.16666666666667,3.016666666666667,435.0,145.41666666666666,412.0
2019-01-01,1,2019-01-01,22.683333333333334,8.966666666666667,35.916666666666664,955.85,140.25,2.3249999999999997,619.8333333333334,100.66666666666667,455.0833333333333
2019-01-02,1,2019-01-02,23.400000000000002,10.466666666666667,38.5,955.5833333333334,163.08333333333334,1.55,609.8333333333334,100.0,453.5
2019-01-03,1,2019-01-03,23.775000000000002,13.091666666666667,39.583333333333336,956.275,170.66666666666666,1.5166666666666666,586.1666666666666,107.66666666666667,448.0833333333333
2019-01-04,1,2019-01-04,24.21666666666667,13.433333333333335,42.333333333333336,955.1916666666666,137.83333333333334,2.1166666666666667,581.75,111.25,447.75
2019-01-05,1,2019-01-05,23.875,15.424999999999999,46.5,953.65,202.41666666666666,1.8166666666666667,515.6666666666666,129.58333333333334,435.3333333333333
2019-01-06,1,2019-01-06,23.28333333333333,13.466666666666667,46.0,952.475,140.5,1.6666666666666667,508.5833333333333,134.75,436.4166666666667
2019-01-07,1,2019-01-07,22.96666666666667,14.75,48.166666666666664,952.2333333333332,72.0,2.841666666666667,565.25,118.0,446.3333333333333
2019-01-08,1,2019-01-08,23.083333333333332,12.799999999999999,46.916666666666664,952.8416666666667,173.41666666666666,2.0833333333333335,604.25,104.66666666666667,457.0
2019-01-09,1,2019-01-09,23.291666666666668,11.916666666666666,43.833333333333336,952.125,157.25,1.5666666666666667,582.5,112.41666666666667,455.6666666666667
2019-01-10,1,2019-01-10,23.458333333333332,12.266666666666666,44.333333333333336,951.6333333333333,159.83333333333334,2.191666666666667,536.0833333333334,126.41666666666667,448.4166666666667
2019-01-11,1,2019-01-11,23.583333333333332,14.058333333333332,46.333333333333336,951.8333333333334,189.5,1.6333333333333335,496.25,139.25,440.1666666666667
2019-01-12,1,2019-01-12,23.65833333333333,14.85,47.0,951.8000000000001,211.08333333333334,1.2666666666666666,492.0833333333333,143.83333333333334,438.4166666666667
2019-01-13,1,2019-01-13,23.34166666666667,15.575000000000001,45.5,952.6333333333333,164.66666666666666,1.2916666666666667,507.0,137.58333333333334,443.5
2019-01-14,1,2019-01-14,24.116666666666664,19.349999999999998,49.833333333333336,951.9666666666667,78.66666666666667,2.7416666666666667,414.1666666666667,166.08333333333334,422.4166666666667
2019-01-15,1,2019-01-15,24.84166666666667,19.724999999999998,53.25,952.9583333333334,110.83333333333333,2.55,430.75,160.33333333333334,426.5
2019-01-16,1,2019-01-16,25.09166666666667,20.625,51.583333333333336,952.8666666666667,168.75,2.0,405.6666666666667,170.08333333333334,422.5
2019-01-17,1,2019-01-17,25.333333333333332,16.099999999999998,47.25,951.8416666666667,166.25,1.8499999999999999,489.9166666666667,146.16666666666666,446.3333333333333
2019-01-18,1,2019-01-18,25.316666666666666,20.05,47.416666666666664,952.275,145.66666666666666,2.4666666666666663,501.0833333333333,139.58333333333334,447.0833333333333
